Date,DeviceSerialNumber,SensorType,Value,Unit,Status
2021-12-28 00:12,CH20211110,Humidity,44,%,good
2021-12-28 00:12,CH20211110,Humidity,43.9,%,good
2021-12-28 00:12,CH20211110,Humidity,43.8,%,good
2021-12-28 00:12,CH20211110,Humidity,43.7,%,good
2021-12-28 00:12,CH20211110,Humidity,43.7,%,good
2021-12-28 00:12,CH20211110,Humidity,43.5,%,good
2021-12-28 00:12,CH20211110,Humidity,43.5,%,good
2021-12-28 00:12,CH20211110,Humidity,43.5,%,good
2021-12-28 00:12,CH20211110,Humidity,43.4,%,good
2021-12-28 00:12,CH20211110,Humidity,43.2,%,good
2021-12-28 00:12,CH20211110,Humidity,43,%,good
2021-12-28 00:12,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.8,%,good
2021-12-28 01:01,CH20211110,Humidity,42.8,%,good
2021-12-28 01:01,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.8,%,good
2021-12-28 01:01,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.7,%,good
2021-12-28 01:01,CH20211110,Humidity,42.6,%,good
2021-12-28 01:01,CH20211110,Humidity,42.5,%,good
2021-12-28 01:01,CH20211110,Humidity,42.5,%,good
2021-12-28 01:01,CH20211110,Humidity,42.4,%,good
2021-12-28 01:01,CH20211110,Humidity,42.4,%,good
2021-12-28 02:02,CH20211110,Humidity,42.4,%,good
2021-12-28 02:02,CH20211110,Humidity,42.4,%,good
2021-12-28 02:02,CH20211110,Humidity,42.4,%,good
2021-12-28 02:02,CH20211110,Humidity,42.5,%,good
2021-12-28 02:02,CH20211110,Humidity,42.6,%,good
2021-12-28 02:02,CH20211110,Humidity,42.6,%,good
2021-12-28 02:02,CH20211110,Humidity,42.7,%,good
2021-12-28 02:02,CH20211110,Humidity,42.9,%,good
2021-12-28 02:02,CH20211110,Humidity,43,%,good
2021-12-28 02:02,CH20211110,Humidity,43.2,%,good
2021-12-28 02:02,CH20211110,Humidity,43.1,%,good
2021-12-28 02:02,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.2,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.2,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.1,%,good
2021-12-28 03:03,CH20211110,Humidity,43.2,%,good
2021-12-28 03:03,CH20211110,Humidity,43.3,%,good
2021-12-28 03:03,CH20211110,Humidity,43.2,%,good
2021-12-28 03:03,CH20211110,Humidity,43,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.8,%,good
2021-12-28 04:04,CH20211110,Humidity,42.8,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.9,%,good
2021-12-28 04:04,CH20211110,Humidity,42.8,%,good
2021-12-28 04:04,CH20211110,Humidity,42.8,%,good
2021-12-28 05:05,CH20211110,Humidity,42.7,%,good
2021-12-28 05:05,CH20211110,Humidity,42.7,%,good
2021-12-28 05:05,CH20211110,Humidity,42.6,%,good
2021-12-28 05:05,CH20211110,Humidity,42.6,%,good
2021-12-28 05:05,CH20211110,Humidity,42.6,%,good
2021-12-28 05:05,CH20211110,Humidity,42.5,%,good
2021-12-28 05:05,CH20211110,Humidity,42.4,%,good
2021-12-28 05:05,CH20211110,Humidity,42.5,%,good
2021-12-28 05:05,CH20211110,Humidity,42.5,%,good
2021-12-28 05:05,CH20211110,Humidity,42.5,%,good
2021-12-28 05:05,CH20211110,Humidity,42.5,%,good
2021-12-28 05:05,CH20211110,Humidity,42.5,%,good
2021-12-28 06:06,CH20211110,Humidity,42.5,%,good
2021-12-28 06:06,CH20211110,Humidity,42.5,%,good
2021-12-28 06:06,CH20211110,Humidity,42.5,%,good
2021-12-28 06:06,CH20211110,Humidity,42.6,%,good
2021-12-28 06:06,CH20211110,Humidity,42.6,%,good
2021-12-28 06:06,CH20211110,Humidity,42.7,%,good
2021-12-28 06:06,CH20211110,Humidity,42.7,%,good
2021-12-28 06:06,CH20211110,Humidity,42.8,%,good
2021-12-28 06:06,CH20211110,Humidity,42.9,%,good
2021-12-28 06:06,CH20211110,Humidity,43,%,good
2021-12-28 06:06,CH20211110,Humidity,43,%,good
2021-12-28 06:06,CH20211110,Humidity,43,%,good
2021-12-28 07:07,CH20211110,Humidity,43,%,good
2021-12-28 07:07,CH20211110,Humidity,43,%,good
2021-12-28 07:07,CH20211110,Humidity,43,%,good
2021-12-28 07:07,CH20211110,Humidity,43.1,%,good
2021-12-28 07:07,CH20211110,Humidity,43.2,%,good
2021-12-28 07:07,CH20211110,Humidity,43.4,%,good
2021-12-28 07:07,CH20211110,Humidity,43.5,%,good
2021-12-28 07:07,CH20211110,Humidity,43.6,%,good
2021-12-28 07:07,CH20211110,Humidity,43.6,%,good
2021-12-28 07:07,CH20211110,Humidity,43.6,%,good
2021-12-28 07:07,CH20211110,Humidity,43.6,%,good
2021-12-28 07:07,CH20211110,Humidity,43.7,%,good
2021-12-28 08:08,CH20211110,Humidity,43.9,%,good
2021-12-28 08:08,CH20211110,Humidity,44.4,%,good
2021-12-28 08:08,CH20211110,Humidity,44.6,%,good
2021-12-28 08:08,CH20211110,Humidity,44.8,%,good
2021-12-28 08:08,CH20211110,Humidity,44.9,%,good
2021-12-28 08:08,CH20211110,Humidity,45,%,good
2021-12-28 08:08,CH20211110,Humidity,45.1,%,good
2021-12-28 08:08,CH20211110,Humidity,45.2,%,good
2021-12-28 08:08,CH20211110,Humidity,45.4,%,good
2021-12-28 08:08,CH20211110,Humidity,45.7,%,good
2021-12-28 08:08,CH20211110,Humidity,45.9,%,good
2021-12-28 08:08,CH20211110,Humidity,46.2,%,good
2021-12-28 09:09,CH20211110,Humidity,46.3,%,good
2021-12-28 09:09,CH20211110,Humidity,46.1,%,good
2021-12-28 09:09,CH20211110,Humidity,45.9,%,good
2021-12-28 09:09,CH20211110,Humidity,46.2,%,good
2021-12-28 09:09,CH20211110,Humidity,46,%,good
2021-12-28 09:09,CH20211110,Humidity,45.8,%,good
2021-12-28 09:09,CH20211110,Humidity,45.7,%,good
2021-12-28 09:09,CH20211110,Humidity,45.6,%,good
2021-12-28 09:09,CH20211110,Humidity,45.5,%,good
2021-12-28 09:09,CH20211110,Humidity,45.4,%,good
2021-12-28 09:09,CH20211110,Humidity,45.4,%,good
2021-12-28 09:09,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.5,%,good
2021-12-28 10:10,CH20211110,Humidity,45.6,%,good
2021-12-28 10:10,CH20211110,Humidity,45.6,%,good
2021-12-28 10:10,CH20211110,Humidity,45.7,%,good
2021-12-28 10:10,CH20211110,Humidity,45.8,%,good
2021-12-28 10:10,CH20211110,Humidity,46,%,good
2021-12-28 10:10,CH20211110,Humidity,46,%,good
2021-12-28 10:10,CH20211110,Humidity,46.1,%,good
2021-12-28 11:11,CH20211110,Humidity,46.1,%,good
2021-12-28 11:11,CH20211110,Humidity,46.1,%,good
2021-12-28 11:11,CH20211110,Humidity,45.9,%,good
2021-12-28 11:11,CH20211110,Humidity,45.8,%,good
2021-12-28 11:11,CH20211110,Humidity,45.9,%,good
2021-12-28 11:11,CH20211110,Humidity,46.4,%,good
2021-12-28 11:11,CH20211110,Humidity,46.6,%,good
2021-12-28 11:11,CH20211110,Humidity,46.7,%,good
2021-12-28 11:11,CH20211110,Humidity,46.7,%,good
2021-12-28 11:11,CH20211110,Humidity,46.8,%,good
2021-12-28 11:11,CH20211110,Humidity,47,%,good
2021-12-28 11:11,CH20211110,Humidity,47.2,%,good
2021-12-28 12:12,CH20211110,Humidity,47.3,%,good
2021-12-28 12:12,CH20211110,Humidity,47.5,%,good
2021-12-28 12:12,CH20211110,Humidity,47.3,%,good
2021-12-28 12:12,CH20211110,Humidity,47.1,%,good
2021-12-28 12:12,CH20211110,Humidity,46.9,%,good
2021-12-28 12:12,CH20211110,Humidity,46.6,%,good
2021-12-28 12:12,CH20211110,Humidity,46.4,%,good
2021-12-28 12:12,CH20211110,Humidity,46.2,%,good
2021-12-28 12:12,CH20211110,Humidity,46,%,good
2021-12-28 12:12,CH20211110,Humidity,45.8,%,good
2021-12-28 12:12,CH20211110,Humidity,45.7,%,good
2021-12-28 12:12,CH20211110,Humidity,45.6,%,good
2021-12-28 13:01,CH20211110,Humidity,45.8,%,good
2021-12-28 13:01,CH20211110,Humidity,45.9,%,good
2021-12-28 13:01,CH20211110,Humidity,46.5,%,good
2021-12-28 13:01,CH20211110,Humidity,47.1,%,good
2021-12-28 13:01,CH20211110,Humidity,47.2,%,error
2021-12-28 13:01,CH20211110,Humidity,47.2,%,error
2021-12-28 13:01,CH20211110,Humidity,47.2,%,error
2021-12-28 13:01,CH20211110,Humidity,47.2,%,error
2021-12-28 13:01,CH20211110,Humidity,50.8,%,error
2021-12-28 13:01,CH20211110,Humidity,50.8,%,error
2021-12-28 13:01,CH20211110,Humidity,50.8,%,error
2021-12-28 14:02,CH20211110,Humidity,50.8,%,error
2021-12-28 14:02,CH20211110,Humidity,58.7,%,good
2021-12-28 14:02,CH20211110,Humidity,55.5,%,good
2021-12-28 14:02,CH20211110,Humidity,52.7,%,good
2021-12-28 14:02,CH20211110,Humidity,50.9,%,good
2021-12-28 14:02,CH20211110,Humidity,49,%,good
2021-12-28 14:02,CH20211110,Humidity,48.3,%,good
2021-12-28 14:02,CH20211110,Humidity,48.6,%,good
2021-12-28 14:02,CH20211110,Humidity,48.6,%,good
2021-12-28 14:02,CH20211110,Humidity,48.7,%,error
2021-12-28 14:02,CH20211110,Humidity,48.7,%,error
2021-12-28 14:02,CH20211110,Humidity,48.5,%,good
2021-12-28 15:03,CH20211110,Humidity,48.5,%,good
2021-12-28 15:03,CH20211110,Humidity,48.4,%,good
2021-12-28 15:03,CH20211110,Humidity,48.4,%,good
2021-12-28 15:03,CH20211110,Humidity,48.4,%,error
2021-12-28 15:03,CH20211110,Humidity,48.4,%,error
2021-12-28 15:03,CH20211110,Humidity,48.4,%,error
2021-12-28 15:03,CH20211110,Humidity,48.4,%,error
2021-12-28 15:03,CH20211110,Humidity,48.4,%,error
2021-12-28 15:03,CH20211110,Humidity,48.4,%,error
2021-12-28 15:03,CH20211110,Humidity,48,%,error
2021-12-28 15:03,CH20211110,Humidity,48,%,error
2021-12-28 15:03,CH20211110,Humidity,48,%,error
2021-12-28 16:04,CH20211110,Humidity,48,%,error
2021-12-28 16:04,CH20211110,Humidity,48.9,%,error
2021-12-28 16:04,CH20211110,Humidity,48.9,%,error
2021-12-28 16:04,CH20211110,Humidity,48.9,%,error
2021-12-28 16:04,CH20211110,Humidity,48.9,%,error
2021-12-28 16:04,CH20211110,Humidity,48.9,%,error
2021-12-28 16:04,CH20211110,Humidity,47.5,%,error
2021-12-28 16:04,CH20211110,Humidity,47.5,%,error
2021-12-28 16:04,CH20211110,Humidity,47.5,%,error
2021-12-28 16:04,CH20211110,Humidity,47.5,%,error
2021-12-28 16:04,CH20211110,Humidity,47.5,%,error
2021-12-28 16:04,CH20211110,Humidity,48.2,%,good
2021-12-28 17:05,CH20211110,Humidity,47.8,%,good
2021-12-28 17:05,CH20211110,Humidity,47.5,%,good
2021-12-28 17:05,CH20211110,Humidity,46.7,%,good
2021-12-28 17:05,CH20211110,Humidity,46.4,%,good
2021-12-28 17:05,CH20211110,Humidity,46.1,%,good
2021-12-28 17:05,CH20211110,Humidity,45.9,%,good
2021-12-28 17:05,CH20211110,Humidity,46,%,good
2021-12-28 17:05,CH20211110,Humidity,46.1,%,good
2021-12-28 17:05,CH20211110,Humidity,46.2,%,good
2021-12-28 17:05,CH20211110,Humidity,46.6,%,good
2021-12-28 17:05,CH20211110,Humidity,47,%,good
2021-12-28 17:05,CH20211110,Humidity,47.6,%,good
2021-12-28 18:06,CH20211110,Humidity,47.7,%,good
2021-12-28 18:06,CH20211110,Humidity,47.4,%,good
2021-12-28 18:06,CH20211110,Humidity,44.9,%,good
2021-12-28 19:07,CH20211110,Humidity,44.3,%,good
2021-12-28 19:07,CH20211110,Humidity,44.1,%,good
2021-12-28 20:08,CH20211110,Humidity,42.5,%,good
2021-12-28 20:08,CH20211110,Humidity,42.8,%,good
2021-12-28 20:08,CH20211110,Humidity,42.7,%,good
2021-12-28 20:08,CH20211110,Humidity,42.6,%,good
2021-12-28 20:08,CH20211110,Humidity,42.5,%,good
2021-12-28 20:08,CH20211110,Humidity,42.4,%,good
2021-12-28 20:08,CH20211110,Humidity,42.3,%,good
2021-12-28 20:08,CH20211110,Humidity,42.1,%,good
2021-12-28 21:09,CH20211110,Humidity,41.9,%,good
2021-12-28 21:09,CH20211110,Humidity,41.8,%,good
2021-12-28 21:09,CH20211110,Humidity,41.8,%,good
2021-12-28 21:09,CH20211110,Humidity,41.8,%,good
2021-12-28 21:09,CH20211110,Humidity,41.7,%,good
2021-12-28 21:09,CH20211110,Humidity,41.6,%,good
2021-12-28 21:09,CH20211110,Humidity,41.5,%,good
2021-12-28 21:09,CH20211110,Humidity,41.3,%,good
2021-12-28 21:09,CH20211110,Humidity,41.4,%,good
2021-12-28 21:09,CH20211110,Humidity,41.5,%,good
2021-12-28 21:09,CH20211110,Humidity,41.7,%,good
2021-12-28 21:09,CH20211110,Humidity,41.7,%,good
2021-12-28 22:10,CH20211110,Humidity,41.8,%,good
2021-12-28 22:10,CH20211110,Humidity,41.8,%,good
2021-12-28 22:10,CH20211110,Humidity,41.9,%,good
2021-12-28 22:10,CH20211110,Humidity,42,%,good
2021-12-28 22:10,CH20211110,Humidity,42,%,good
2021-12-28 22:10,CH20211110,Humidity,42.1,%,good
2021-12-28 22:10,CH20211110,Humidity,42.3,%,good
2021-12-28 22:10,CH20211110,Humidity,42.4,%,good
2021-12-28 22:10,CH20211110,Humidity,42.5,%,good
2021-12-28 22:10,CH20211110,Humidity,42.8,%,good
2021-12-28 22:10,CH20211110,Humidity,42.9,%,good
2021-12-28 22:10,CH20211110,Humidity,42.9,%,good
2021-12-28 23:11,CH20211110,Humidity,42.8,%,good
2021-12-28 23:11,CH20211110,Humidity,42.6,%,good
2021-12-28 23:11,CH20211110,Humidity,42.4,%,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 00:12,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 01:01,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 02:02,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 03:03,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 04:04,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 05:05,CH20211110,Light,48,Lux,good
2021-12-28 06:06,CH20211110,Light,48,Lux,good
2021-12-28 06:06,CH20211110,Light,48,Lux,good
2021-12-28 06:06,CH20211110,Light,48,Lux,good
2021-12-28 06:06,CH20211110,Light,49,Lux,good
2021-12-28 06:06,CH20211110,Light,50,Lux,good
2021-12-28 06:06,CH20211110,Light,50,Lux,good
2021-12-28 06:06,CH20211110,Light,51,Lux,good
2021-12-28 06:06,CH20211110,Light,51,Lux,good
2021-12-28 06:06,CH20211110,Light,53,Lux,good
2021-12-28 06:06,CH20211110,Light,53,Lux,good
2021-12-28 06:06,CH20211110,Light,53,Lux,good
2021-12-28 06:06,CH20211110,Light,55,Lux,good
2021-12-28 07:07,CH20211110,Light,56,Lux,good
2021-12-28 07:07,CH20211110,Light,57,Lux,good
2021-12-28 07:07,CH20211110,Light,57,Lux,good
2021-12-28 07:07,CH20211110,Light,58,Lux,good
2021-12-28 07:07,CH20211110,Light,59,Lux,good
2021-12-28 07:07,CH20211110,Light,60,Lux,good
2021-12-28 07:07,CH20211110,Light,61,Lux,good
2021-12-28 07:07,CH20211110,Light,62,Lux,good
2021-12-28 07:07,CH20211110,Light,63,Lux,good
2021-12-28 07:07,CH20211110,Light,64,Lux,good
2021-12-28 07:07,CH20211110,Light,65,Lux,good
2021-12-28 07:07,CH20211110,Light,66,Lux,good
2021-12-28 08:08,CH20211110,Light,67,Lux,good
2021-12-28 08:08,CH20211110,Light,68,Lux,good
2021-12-28 08:08,CH20211110,Light,70,Lux,good
2021-12-28 08:08,CH20211110,Light,70,Lux,good
2021-12-28 08:08,CH20211110,Light,71,Lux,good
2021-12-28 08:08,CH20211110,Light,72,Lux,good
2021-12-28 08:08,CH20211110,Light,74,Lux,good
2021-12-28 08:08,CH20211110,Light,75,Lux,good
2021-12-28 08:08,CH20211110,Light,77,Lux,good
2021-12-28 08:08,CH20211110,Light,80,Lux,good
2021-12-28 08:08,CH20211110,Light,95,Lux,good
2021-12-28 08:08,CH20211110,Light,98,Lux,good
2021-12-28 09:09,CH20211110,Light,101,Lux,good
2021-12-28 09:09,CH20211110,Light,104,Lux,good
2021-12-28 09:09,CH20211110,Light,107,Lux,good
2021-12-28 09:09,CH20211110,Light,111,Lux,good
2021-12-28 09:09,CH20211110,Light,115,Lux,good
2021-12-28 09:09,CH20211110,Light,119,Lux,good
2021-12-28 09:09,CH20211110,Light,124,Lux,good
2021-12-28 09:09,CH20211110,Light,125,Lux,good
2021-12-28 09:09,CH20211110,Light,128,Lux,good
